id,elo,recent,tournaments,matches,career_high
Serral(Z),2033,+80,87,500,2097
Maru(T),2010,+91,58,283,2075
Reynor(Z),1927,+24,67,386,2060
Rogue(Z),2041,+72,71,311,2045
Dark(Z),1899,-47,66,310,2017
TY(T),1819,0,60,286,2006
Cure(T),1880,-48,56,257,2002
Zest(P),1831,-155,87,442,1999
GuMiho(T),1784,+10,43,190,1992
Trap(P),1919,-1,57,278,1983
Clem(T),1870,-69,61,334,1980
Patience(P),1701,0,36,141,1977
INnoVation(T),1835,+13,72,363,1972
ByuN(T),1864,+64,57,239,1969
Stats(P),1940,0,66,320,1966
soO(Z),1810,0,59,284,1959
PartinG(P),1887,-42,35,141,1955
RagnaroK(Z),1868,+138,30,111,1946
Solar(Z),1872,-10,98,447,1940
Lambo(Z),1899,-16,67,301,1934
herO(P),1824,+17,48,206,1931
SKillous(P),1694,-17,22,110,1929
KeeN(T),1728,-7,18,64,1926
Neeb(P),1782,-95,96,466,1922
Classic(P),1828,-29,45,191,1911
Zoun(P),1804,-62,22,78,1909
ShoWTimE(P),1844,+28,83,413,1907
SpeCial(T),1787,+93,85,330,1906
Scarlett(Z),1875,+81,85,373,1900
HeRoMaRinE(T),1842,-57,69,348,1899
Bly(Z),1571,-25,74,282,1898
Elazer(Z),1789,-39,89,449,1894
sOs(P),1827,-16,43,155,1886
TRUE(Z),1601,0,42,170,1884
Dream(T),1798,+10,30,103,1879
Dear(P),1758,0,29,135,1875
MaSa(T),1634,+82,59,258,1871
Nerchio(Z),1648,0,54,234,1871
TIME(T),1749,-58,80,331,1868
Astrea(P),1752,-37,30,141,1863
iAsonu(Z),1743,0,51,245,1842
Bunny(T),1814,+80,51,204,1839
Has(P),1726,-8,49,198,1835
uThermal(T),1721,+82,81,395,1835
DongRaeGu(Z),1787,+93,19,65,1829
MarineLorD(T),1763,+119,33,154,1822
MaxPax(P),1821,+5,19,95,1821
aLive(T),1610,0,31,114,1811
Hydra(Z),1621,0,14,50,1810
JonSnow(Z),1539,-10,37,155,1810
ByuL(Z),1663,0,14,67,1803
MaNa(P),1623,-64,66,299,1802
Harstem(P),1658,-15,72,320,1796
Armani(Z),1740,+21,25,68,1795
Denver(Z),1714,+125,26,140,1795
Impact(Z),1625,0,32,114,1793
TooDming(Z),1547,0,39,194,1784
Kelazhur(T),1675,+24,73,306,1779
Nice(P),1754,-2,35,142,1778
Rattata(Z),1731,+102,11,44,1774
Hurricane(P),1770,0,22,104,1772
Cham(Z),1665,+30,46,202,1769
souL(T),1757,0,38,166,1769
Snute(Z),1611,0,58,237,1768
Gerald(P),1674,+64,18,93,1765
DnS(P),1631,+17,44,185,1760
Cyan(P),1687,+49,54,234,1759
Piglet(T),1757,+264,7,33,1757
SortOf(Z),1534,-10,49,191,1753
PtitDrogo(P),1605,-76,61,264,1751
Future(T),1633,0,28,110,1749
PiLiPiLi(P),1574,-19,26,112,1749
Stephano(Z),1548,-75,38,160,1749
TLO(Z),1576,0,40,162,1747
Ryung(T),1610,+27,19,70,1745
Polt(T),1597,0,12,42,1742
Semper(T),1511,-77,26,103,1742
ButAlways(P),1571,-67,14,58,1741
TaeJa(T),1660,0,10,51,1739
ExpecT(T),1540,+5,20,81,1736
jjakji(T),1635,0,13,47,1732
Leenock(Z),1671,0,13,48,1732
Vanya(Z),1683,0,6,36,1731
puCK(P),1730,0,25,72,1730
Spirit(T),1729,+158,27,64,1729
FanTaSy(T),1698,0,8,32,1727
MacSed(P),1638,+57,33,160,1724
Creator(P),1670,+30,25,79,1721
Silky(Z),1627,0,30,103,1721
Hellraiser(P),1616,-42,23,122,1720
Probe (player)(P),1561,-89,44,186,1720
Zanster(Z),1547,0,32,116,1720
Seither(T),1719,+157,30,143,1719
KingCobra(P),1563,-153,3,21,1716
PiG(Z),1431,0,8,32,1715
Namshar(Z),1619,+9,52,229,1713
XY(T),1590,+5,33,171,1712
Rail(P),1619,-74,15,72,1711
Nina(P),1678,+41,38,139,1706
GunGFuBanDa(P),1670,-34,20,92,1704
XiGua(Z),1617,0,33,146,1698
ShaDoWn(P),1599,-16,16,76,1697
HuT(T),1454,-95,11,45,1695
Firefly(P),1595,0,27,119,1690
Lemon(Z),1552,-57,6,20,1689
Bee(Z),1688,0,7,20,1688
DisK(P),1659,-28,8,53,1687
Beastyqt(T),1530,0,9,28,1686
Epic(T),1490,-63,15,68,1685
MajOr(T),1658,0,14,38,1684
HalfBreed(Z),1441,0,13,55,1682
MCanning(P),1562,+25,17,82,1682
Guru(Z),1675,0,10,25,1675
RiSky(Z),1497,-11,20,75,1671
TriGGeR(P),1671,+135,3,24,1671
Asuna(P),1670,+89,4,29,1670
Dayshi(T),1583,0,13,39,1669
Jieshi(P),1606,-63,35,131,1669
Shana(T),1575,0,9,34,1668
Suppy(Z),1608,0,9,35,1667
ViOLet(Z),1557,0,11,31,1665
Erik(Z),1515,-58,27,107,1662
Couguar(P),1660,0,3,23,1661
Coffee(T),1594,-32,22,97,1659
Iaguz(T),1489,0,20,73,1656
Brat_OK(T),1475,0,8,35,1654
Losira(Z),1564,0,14,42,1654
Bails(P),1606,0,10,33,1653
Ein(T),1653,0,6,47,1653
Azure(T),1582,+266,16,57,1652
Cloudy(P),1575,0,22,79,1652
Sen(Z),1511,0,8,42,1652
Arctur(T),1571,0,5,28,1649
Raze(T),1530,0,14,45,1649
Krystianer(P),1565,-45,6,33,1648
JimRising(Z),1498,-23,21,79,1647
EnDerr(Z),1569,0,17,66,1645
Jim(P),1577,0,23,115,1643
Pezz(P),1517,+32,7,39,1641
Ezrc(Z),1527,0,7,28,1638
GogojOey(Z),1560,+56,19,61,1637
BreakingGG(Z),1595,0,18,55,1636
DeMusliM(T),1524,0,10,43,1630
Vindicta(T),1561,-3,14,68,1628
Winter (Swedish player)(Z),1511,0,11,30,1626
Jarppi(T),1394,0,14,56,1622
Cuddlebear(T),1398,0,11,42,1620
goblin(P),1609,-6,16,74,1618
Ryu(Z),1484,-22,18,77,1616
Pokebunny(T),1603,0,10,35,1613
starkiller(Z),1408,0,12,38,1613
TeebuL(P),1598,+36,6,23,1607
Rex(Z),1601,+23,24,116,1604
Super(P),1602,0,11,33,1602
