level,start,end,tournament,match,p1_name,p1_race,p1_score,p2_score,p2_race,p2_name,link,prize
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,Cyan,P,1,3,Z,IAsonu,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,Rushcrazy,P,1,3,Z,XiGua,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,IAsonu,Z,1,3,Z,XiGua,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,TIME,T,3,2,P,Jim,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,TooDming,Z,3,1,P,Jieshi,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,TIME,T,0,3,Z,TooDming,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,XiGua,Z,4,2,Z,TooDming,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
major,20160109,20160124,GPL 2015 - Grand Finals,Bracket,IAsonu,Z,2,3,T,TIME,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,PtitDrogo,P,3,1,T,Basior,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Neeb,P,3,1,T,Dayshi,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,PtitDrogo,P,3,2,P,Neeb,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Scarlett,Z,0,3,Z,TLO,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Snute,Z,3,2,T,Kelazhur,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,TLO,Z,3,2,Z,Snute,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,PtitDrogo,P,3,2,Z,TLO,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,ShoWTimE,P,3,2,T,MarineLorD,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Nerchio,Z,1,3,P,Lilbow,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,ShoWTimE,P,3,1,P,Lilbow,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,UThermal,T,3,0,Z,Tefel,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Harstem,P,3,1,P,Nice,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,UThermal,T,3,0,P,Harstem,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,ShoWTimE,P,1,3,T,UThermal,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,PtitDrogo,P,3,2,T,UThermal,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
premier,20160122,20160124,2016 DreamHack Open: Leipzig,Bracket,Elazer,Z,3,2,P,State,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
