id,elo,recent,tournaments,matches,career_high
Rogue(Z),2041,+72,71,311,2045
Serral(Z),2033,+80,87,500,2097
Maru(T),2010,+91,58,283,2075
Stats(P),1940,+0,66,320,1966
Reynor(Z),1927,+24,67,386,2060
Trap(P),1919,-1,57,278,1983
Dark(Z),1899,-47,66,310,2017
Lambo(Z),1899,-16,67,301,1934
PartinG(P),1887,-42,35,141,1955
Cure(T),1880,-48,56,257,2002
Scarlett(Z),1875,+81,85,373,1900
Solar(Z),1872,-10,98,447,1940
Clem(T),1870,-69,61,334,1980
RagnaroK(Z),1868,+138,30,111,1946
ByuN(T),1864,+64,57,239,1969
ShoWTimE(P),1844,+28,83,413,1907
HeRoMaRinE(T),1842,-57,69,348,1899
INnoVation(T),1835,+13,72,363,1972
Zest(P),1831,-155,87,442,1999
Classic(P),1828,-29,45,191,1911
sOs(P),1827,-16,43,155,1886
herO(P),1824,+17,48,206,1931
MaxPax(P),1821,+5,19,95,1821
TY(T),1819,+0,60,286,2006
Bunny(T),1814,+80,51,204,1839
soO(Z),1810,+0,59,284,1959
Zoun(P),1804,-62,22,78,1909
Dream(T),1798,+10,30,103,1879
Elazer(Z),1789,-39,89,449,1894
DongRaeGu(Z),1787,+93,19,65,1829
SpeCial(T),1787,+93,85,330,1906
GuMiho(T),1784,+10,43,190,1992
Neeb(P),1782,-95,96,466,1922
Hurricane(P),1770,+0,22,104,1772
MarineLorD(T),1763,+119,33,154,1822
Dear(P),1758,+0,29,135,1875
Piglet(T),1757,+264,7,33,1757
souL(T),1757,+0,38,166,1769
Nice(P),1754,-2,35,142,1778
Astrea(P),1752,-37,30,141,1863
TIME(T),1749,-58,80,331,1868
iAsonu(Z),1743,+0,51,245,1842
Armani(Z),1740,+21,25,68,1795
Rattata(Z),1731,+102,11,44,1774
puCK(P),1730,+0,25,72,1730
Spirit(T),1729,+158,27,64,1729
KeeN(T),1728,-7,18,64,1926
Has(P),1726,-8,49,198,1835
uThermal(T),1721,+82,81,395,1835
Seither(T),1719,+157,30,143,1719
Denver(Z),1714,+125,26,140,1795
Patience(P),1701,+0,36,141,1977
FanTaSy(T),1698,+0,8,32,1727
SKillous(P),1694,-17,22,110,1929
Bee(Z),1688,+0,7,20,1688
Cyan(P),1687,+49,54,234,1759
Vanya(Z),1683,+0,6,36,1731
Nina(P),1678,+41,38,139,1706
Guru(Z),1675,+0,10,25,1675
Kelazhur(T),1675,+24,73,306,1779
Gerald(P),1674,+64,18,93,1765
Leenock(Z),1671,+0,13,48,1732
TriGGeR(P),1671,+135,3,24,1671
Asuna(P),1670,+89,4,29,1670
Creator(P),1670,+30,25,79,1721
GunGFuBanDa(P),1670,-34,20,92,1704
Cham(Z),1665,+30,46,202,1769
ByuL(Z),1663,+0,14,67,1803
Couguar(P),1660,+0,3,23,1661
TaeJa(T),1660,+0,10,51,1739
DisK(P),1659,-28,8,53,1687
Harstem(P),1658,-15,72,320,1796
MajOr(T),1658,+0,14,38,1684
Ein(T),1653,+0,6,47,1653
Nerchio(Z),1648,+0,54,234,1871
MacSed(P),1638,+57,33,160,1724
jjakji(T),1635,+0,13,47,1732
MaSa(T),1634,+82,59,258,1871
Future(T),1633,+0,28,110,1749
DnS(P),1631,+17,44,185,1760
Silky(Z),1627,+0,30,103,1721
Impact(Z),1625,+0,32,114,1793
MaNa(P),1623,-64,66,299,1802
Hydra(Z),1621,+0,14,50,1810
Namshar(Z),1619,+9,52,229,1713
Rail(P),1619,-74,15,72,1711
XiGua(Z),1617,+0,33,146,1698
Hellraiser(P),1616,-42,23,122,1720
Snute(Z),1611,+0,58,237,1768
aLive(T),1610,+0,31,114,1811
Ryung(T),1610,+27,19,70,1745
goblin(P),1609,-6,16,74,1618
Suppy(Z),1608,+0,9,35,1667
Bails(P),1606,+0,10,33,1653
Jieshi(P),1606,-63,35,131,1669
PtitDrogo(P),1605,-76,61,264,1751
Pokebunny(T),1603,+0,10,35,1613
Super(P),1602,+0,11,33,1602
Rex(Z),1601,+23,24,116,1604
TRUE(Z),1601,+0,42,170,1884
