level,start,end,name,link,prize
major,20160109,20160124,GPL 2015 - Grand Finals,https://liquipedia.net/starcraft2/GPL_2015/Grand_Finals,20500
premier,20160122,20160124,2016 DreamHack Open: Leipzig,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Leipzig,50000
major,20160107,20160201,"2016 WCS Winter Regional Challengers: Taiwan, Hong Kong, Macau",https://liquipedia.net/starcraft2/2016_WCS_Winter_Regional_Challengers/Taiwan_Hong_Kong_Macau,10000
major,20160201,20160202,IEM Season X - Taipei,https://liquipedia.net/starcraft2/IEM_Season_X_-_Taipei,25000
major,20160213,20160214,2016 WCS Winter Regional Challengers: Europe,https://liquipedia.net/starcraft2/2016_WCS_Winter_Regional_Challengers/Europe,9800
major,20160213,20160214,2016 WCS Winter Regional Challengers: North America,https://liquipedia.net/starcraft2/2016_WCS_Winter_Regional_Challengers/North_America,9800
major,20160213,20160214,"2016 WCS Winter Regional Challengers: Oceania, SEA, Japan",https://liquipedia.net/starcraft2/2016_WCS_Winter_Regional_Challengers/Oceania_SEA_Japan,10000
major,20160208,20160217,Copa América 2016 Season 1,https://liquipedia.net/starcraft2/Copa_America_2016/Season_1,10000
premier,20160302,20160305,2016 WCS Circuit: Winter Circuit Championship,https://liquipedia.net/starcraft2/2016_WCS_Winter_Circuit_Championship,150000
major,20160218,20160316,Ting Open Season 1,https://liquipedia.net/starcraft2/Ting_Open_Season_1,5000
premier,20160321,20160326,Gold Series International 2016,https://liquipedia.net/starcraft2/Gold_Series_International_2016,50000
major,20160406,20160406,2016 WCS Spring Regional Challengers: China,https://liquipedia.net/starcraft2/2016_WCS_Spring_Regional_Challengers/China,10000
premier,20160107,20160409,2016 StarCraft II StarLeague Season 1,https://liquipedia.net/starcraft2/2016_StarCraft_II_StarLeague_Season_1/Main_Event,113364
major,20160331,20160409,Copa América 2016 Season 2,https://liquipedia.net/starcraft2/Copa_America_2016/Season_2,10000
major,20160408,20160409,2016 WCS Spring Regional Challengers: Europe,https://liquipedia.net/starcraft2/2016_WCS_Spring_Regional_Challengers/Europe,10000
major,20160408,20160409,2016 WCS Spring Regional Challengers: North America,https://liquipedia.net/starcraft2/2016_WCS_Spring_Regional_Challengers/North_America,10000
major,20160416,20160417,"2016 WCS Spring Regional Challengers: Oceania, SEA, Japan",https://liquipedia.net/starcraft2/2016_WCS_Spring_Regional_Challengers/Oceania_SEA_Japan,10000
major,20160328,20160423,"2016 WCS Spring Regional Challengers: Taiwan, Hong Kong, Macau",https://liquipedia.net/starcraft2/2016_WCS_Spring_Regional_Challengers/Taiwan_Hong_Kong_Macau,9275
premier,20160108,20160501,2016 Global StarCraft II League Season 1,https://liquipedia.net/starcraft2/2016_Global_StarCraft_II_League_Season_1/Code_S,194480
major,20160308,20160508,ESL Meisterschaft - Spring Season 2016,https://liquipedia.net/starcraft2/ESL_Meisterschaft/Spring_Season_2016,6272
premier,20160506,20160508,2016 DreamHack Open: Austin,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Austin,50000
premier,20160514,20160516,2016 WCS Circuit: Spring Circuit Championship,https://liquipedia.net/starcraft2/2016_WCS_Spring_Circuit_Championship,150000
major,20160414,20160520,World Cyber Arena 2016: Asia Spring Qualifier,https://liquipedia.net/starcraft2/World_Cyber_Arena_2016/Asia/Spring,15350
premier,20160522,20160522,2016 WCS Korea Season 1 Cross Finals,https://liquipedia.net/starcraft2/2016_WCS_Korea_Season_1_Cross_Finals,25740
major,20160331,20160523,2016 Kung Fu Cup Season 1,https://liquipedia.net/starcraft2/Kung_Fu_Cup/2016/1,23000
major,20160523,20160531,BaseTradeTV Map Test Tournament,https://liquipedia.net/starcraft2/BaseTradeTV_Map_Test_Tournament,4050
major,20160618,20160618,E-Sport SM 2016 Finals,https://liquipedia.net/starcraft2/E-Sport_SM_2016/Finals,4800
major,20160618,20160619,"2016 WCS Summer Regional Challengers: Oceania, SEA, Japan",https://liquipedia.net/starcraft2/2016_WCS_Summer_Regional_Challengers/Oceania_SEA_Japan,10000
premier,20160623,20160626,HomeStory Cup XIII,https://liquipedia.net/starcraft2/HomeStory_Cup/13,20000
major,20160623,20160703,GPL 2016 Season 2,https://liquipedia.net/starcraft2/GPL_2016_Season_2/Premier,14120
major,20160626,20160703,"2016 WCS Summer Regional Challengers: Taiwan, Hong Kong, Macau",https://liquipedia.net/starcraft2/2016_WCS_Summer_Regional_Challengers/Taiwan_Hong_Kong_Macau,9317
major,20160627,20160709,Copa América 2016 Season 3,https://liquipedia.net/starcraft2/Copa_America_2016/Season_3,10000
major,20160708,20160709,2016 WCS Summer Regional Challengers: Europe,https://liquipedia.net/starcraft2/2016_WCS_Summer_Regional_Challengers/Europe,10000
major,20160708,20160709,2016 WCS Summer Regional Challengers: North America,https://liquipedia.net/starcraft2/2016_WCS_Summer_Regional_Challengers/North_America,10000
premier,20160714,20160716,2016 DreamHack Open: Valencia,https://liquipedia.net/starcraft2/2016_DreamHack_Open/Valencia,50000
major,20160723,20160724,Cheesadelphia Summer 2016,https://liquipedia.net/starcraft2/Cheesadelphia_Summer_2016,4000
premier,20160728,20160731,IEM Season XI - Shanghai,https://liquipedia.net/starcraft2/IEM_Season_XI_-_Shanghai,50000
major,20160801,20160807,NEO Star League 2016 International,https://liquipedia.net/starcraft2/NEO_Star_League_2016_Season_1/International,62300
premier,20160812,20160814,2016 WCS Circuit: Summer Circuit Championship,https://liquipedia.net/starcraft2/2016_WCS_Summer_Circuit_Championship,150000
major,20160819,20160820,Bonjwa Cup,https://liquipedia.net/starcraft2/Bonjwa_Cup,6229
major,20160809,20160827,World Cyber Arena 2016: Europe Qualifier,https://liquipedia.net/starcraft2/World_Cyber_Arena_2016/Europe,15082
major,20160627,20160828,ESL Meisterschaft - Summer Season 2016,https://liquipedia.net/starcraft2/ESL_Meisterschaft/Summer_Season_2016,4816
major,20160826,20160828,WESG 2016 - Africa  Middle East Qualifier,https://liquipedia.net/starcraft2/World_Electronic_Sports_Games_2016/Africa_%26_Middle_East,27428
premier,20160527,20160910,2016 Global StarCraft II League Season 2,https://liquipedia.net/starcraft2/2016_Global_StarCraft_II_League_Season_2/Code_S,194480
